,blackberry 9630 tour,smartphone blackberry prodotto da blackberry  con sistema operativo blackberry handheld software  schermo da 2.4 pollici  fotocamera da 3.2 mpx. connessioni  bluetooth 2.0  umts. dispositivi integrati  fotocamera digitale lettore digitale ricevitore gps registratore vocale.,0.0,product
,blackberry 9360 curve,smartphone blackberry prodotto da blackberry  con sistema operativo blackberry 7 os  schermo da 2.44 pollici  fotocamera da 5 mpx. connessioni  bluetooth ieee 802.11b g n nfc  umts  hsdpa. dispositivi integrati  fotocamera digitale lettore digitale ricevitore gps registratore vocale.,0.0,product
,ngm van gogh,cellulare dual sim   prodotto da ngm  schermo da 2.4 pollici  fotocamera da 2.1 mpx. connessioni  bluetooth 2.1 edr. dispositivi integrati  fotocamera digitale radio fm lettore digitale.,0.0,product
,acer e320 liquid express,android phone prodotto da acer  con sistema operativo google android 2.3  schermo da 3.5 pollici  fotocamera da 5 mpx. connessioni  bluetooth 2.1 edr ieee 802.11b g  umts  hsdpa  hsupa. dispositivi integrati  fotocamera digitale radio fm lettore digitale ricevitore gps hotspot wi fi registratore vocale.,0.0,product
,alcatel one touch 385d,cellulare dual sim   prodotto da alcatel  con sistema operativo proprietario  schermo da 2 pollici.,0.0,product
,auro s201,cellulare prodotto da auro  con sistema operativo proprietario.,0.0,product
,auro s204,cellulare prodotto da auro  con sistema operativo proprietario.,0.0,product
,hagenuk e50,cellulare prodotto da hagenuk  con sistema operativo proprietario  schermo da 1.37 pollici.,0.0,product
,hagenuk e70,cellulare prodotto da hagenuk  con sistema operativo proprietario  schermo da 1.6 pollici.,0.0,product
,samsung e2600,cellulare prodotto da samsung  con sistema operativo proprietario  schermo da 2.4 pollici  40 mb di memoria  fotocamera da 2 mpx. connessioni  bluetooth 3.0. dispositivi integrati  fotocamera digitale radio fm lettore digitale.,0.0,product
,huawei u8800 ideos x5,android phone prodotto da huawei  con sistema operativo google android 2.2  schermo da 3.8 pollici  4 gb di memoria  fotocamera da 5 mpx. connessioni  bluetooth 2.1 edr ieee 802.11b g n  umts  hsdpa  hsupa. dispositivi integrati  fotocamera digitale lettore digitale ricevitore gps hotspot wi fi registratore vocale.,0.0,product
,onda tq150,smartphone prodotto da onda  con sistema operativo android  schermo da 2.8 pollici  fotocamera da 3.2 mpx  hsdpa.,0.0,product
,swissvoice mp03,cellulare prodotto da swissvoice  con sistema operativo proprietario.,0.0,product
,swissvoice mp40,cellulare prodotto da swissvoice  con sistema operativo proprietario  fotocamera da 0.3 mpx.,0.0,product
,zte pm1106 color,cellulare prodotto da zte  con sistema operativo proprietario  schermo da 1.5 pollici.,0.0,product
